category_name,calorie,portion
apple_pie,237,100
baby_back_ribs,170,100
baklava,413,100
beef_carpaccio,180,100
beef_tartare,197,100
beet_salad,260,100
beignets,417,100
bibimbap,146,100
bread_pudding,155,100
breakfast_burrito,167,100
bruschetta,170,100
caesar_salad,189,100
cannoli,328,100
caprese_salad,148,100
carrot_cake,386,100
ceviche,62,100
cheesecake,321,100
cheese_plate,332,100
chicken_curry,106,100
chicken_quesadilla,239,100
chicken_wings,188,100
chocolate_cake,388,100
chocolate_mousse,269,100
churros,419,100
clam_chowder,66,100
club_sandwich,243,100
crab_cakes,211,100
creme_brulee,110,100
croque_madame,543,100
cup_cakes,356,100
deviled_eggs,198,100
donuts,324,100
dumplings,128,100
edamame,106,100
eggs_benedict,283,100
escargots,85,100
falafel,509,100
filet_mignon,196,100
fish_and_chips,214,100
foie_gras,462,100
french_fries,155,100
french_onion_soup,70,100
french_toast,195,100
fried_calamari,90,100
fried_rice,170,100
frozen_yogurt,226,100
garlic_bread,319,100
gnocchi,150,100
greek_salad,74,100
grilled_cheese_sandwich,331,100
grilled_salmon,196,100
guacamole,103,100
gyoza,133,100
hamburger,186,100
hot_and_sour_soup,39,100
hot_dog,211,100
huevos_rancheros,119,100
hummus,214,100
ice_cream,257,100
lasagna,123,100
lobster_bisque,52,100
lobster_roll_sandwich,174,100
macaroni_and_cheese,110,100
macarons,467,100
miso_soup,198,100
mussels,155,100
nachos,343,100
omelette,97,100
onion_rings,350,100
oysters,189,100
pad_thai,152,100
paella,422,100
pancakes,227,100
panna_cotta,220,100
peking_duck,98,100
pho,88,100
pizza,264,100
pork_chop,211,100
poutine,288,100
prime_rib,355,100
pulled_pork_sandwich,153,100
ramen,327,100
ravioli,200,100
red_velvet_cake,380,100
risotto,157,100
samosa,153,100
sashimi,159,100
scallops,71,100
seaweed_salad,67,100
shrimp_and_grits,147,100
spaghetti_bolognese,320,100
spaghetti_carbonara,400,100
spring_rolls,190,100
steak,556,100
strawberry_shortcake,421,100
sushi,143,100
tacos,180,100
takoyaki,175,100
tiramisu,354,100
tuna_tartare,270,100
waffles,406,100
